Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Order Month,Order Year
US-2023-100000,2023-06-21,2023-06-24,Second Class,Thomas Johnson,Consumer,United States,Ohio,Central,Furniture,Tables,728.23,5,0.1,-15.91,-0.021847493237026762,2023-06,2023
US-2023-100001,2023-08-28,2023-08-30,Second Class,Robert Martinez,Consumer,United States,Oregon,West,Office Supplies,Envelopes,81.37,4,0.0,14.4,0.17696939904141576,2023-08,2023
US-2023-100002,2023-04-26,2023-05-02,First Class,William Davis,Corporate,United States,Tennessee,South,Technology,Phones,492.82,3,0.2,10.82,0.02195527778905077,2023-04,2023
US-2022-100003,2022-02-05,2022-02-07,Second Class,Karen Williams,Consumer,United States,Texas,Central,Office Supplies,Binders,77.37,6,0.15,9.87,0.12756882512601783,2022-02,2022
US-2024-100004,2024-08-16,2024-08-18,Same Day,Elizabeth Smith,Corporate,United States,Wisconsin,Central,Furniture,Tables,1175.41,8,0.2,-123.36,-0.10495061297759929,2024-08,2024
US-2022-100005,2022-06-17,2022-06-19,First Class,John Martin,Corporate,United States,California,West,Office Supplies,Appliances,39.78,2,0.1,5.38,0.13524384112619406,2022-06,2022
US-2024-100006,2024-07-20,2024-07-26,Standard Class,Thomas Miller,Corporate,United States,Michigan,Central,Office Supplies,Art,10.58,2,0.0,2.1,0.19848771266540643,2024-07,2024
US-2024-100007,2024-03-28,2024-04-03,Standard Class,David Rodriguez,Home Office,United States,Alabama,South,Technology,Copiers,459.66,6,0.0,51.65,0.11236566157594743,2024-03,2024
US-2023-100008,2023-12-31,2024-01-02,Standard Class,Joseph Brown,Corporate,United States,Michigan,Central,Office Supplies,Art,44.26,5,0.2,4.52,0.10212381382738364,2023-12,2023
US-2022-100009,2022-09-28,2022-10-04,Standard Class,Charles Jones,Consumer,United States,Tennessee,South,Furniture,Tables,6.17,8,0.15,-0.39,-0.06320907617504053,2022-09,2022
US-2023-100010,2023-04-04,2023-04-07,Standard Class,Elizabeth Anderson,Home Office,United States,Wisconsin,Central,Office Supplies,Supplies,70.06,4,0.3,0.97,0.013845275478161575,2023-04,2023
US-2022-100011,2022-02-13,2022-02-14,First Class,Richard Gonzalez,Consumer,United States,Alabama,South,Technology,Copiers,540.05,6,0.15,36.73,0.06801222109063976,2022-02,2022
US-2024-100012,2024-02-16,2024-02-22,Standard Class,Thomas Davis,Corporate,United States,Pennsylvania,East,Furniture,Tables,138.85,2,0.15,-7.4,-0.053294922578321934,2024-02,2024
US-2022-100013,2022-10-15,2022-10-21,Second Class,Sarah Johnson,Home Office,United States,Virginia,East,Office Supplies,Storage,59.99,3,0.3,0.59,0.009834972495415902,2022-10,2022
US-2022-100014,2022-05-05,2022-05-10,Standard Class,Michael Hernandez,Consumer,United States,California,West,Office Supplies,Appliances,116.79,5,0.15,5.62,0.04812055826697491,2022-05,2022
US-2023-100015,2023-06-07,2023-06-14,First Class,Elizabeth Miller,Corporate,United States,Texas,Central,Office Supplies,Binders,116.67,7,0.15,13.27,0.11373960743978744,2023-06,2023
US-2022-100016,2022-07-03,2022-07-06,Second Class,David Miller,Home Office,United States,California,West,Furniture,Tables,509.64,9,0.2,-40.5,-0.07946785966564635,2022-07,2022
US-2023-100017,2023-06-22,2023-06-27,Standard Class,Sarah Brown,Consumer,United States,New Jersey,East,Office Supplies,Binders,67.29,3,0.0,11.67,0.17342844404814978,2023-06,2023
US-2022-100018,2022-10-06,2022-10-07,Standard Class,Thomas Davis,Consumer,United States,New York,East,Furniture,Tables,149.29,3,0.15,-6.16,-0.041261973340478264,2022-10,2022
US-2024-100019,2024-07-09,2024-07-10,Second Class,Patricia Martinez,Corporate,United States,Arizona,West,Office Supplies,Labels,83.74,3,0.0,11.04,0.1318366372104132,2024-07,2024
US-2022-100020,2022-11-13,2022-11-15,Standard Class,Charles Hernandez,Corporate,United States,Ohio,Central,Office Supplies,Labels,168.41,8,0.1,20.26,0.12030164479543971,2022-11,2022
US-2024-100021,2024-04-30,2024-05-04,Standard Class,Robert Garcia,Consumer,United States,Michigan,Central,Technology,Phones,574.57,7,0.0,44.49,0.0774318185773709,2024-04,2024
